filename,style,texture,brand,occasion,material,fit,body_shape
001296_1.jpg,Streetwear,Plain,Zara,Work,Cotton,Tight clothes,Rectangle
001285_1.jpg,Formal,Plain,H&M,Party,Synthetics,Tight clothes,Rectangle
001301_1.jpg,Streetwear,Plain,H&M,Work,Cotton,Tight clothes,Rectangle
001292_1.jpg,Streetwear,Plain,Uniqlo,Work,Linen,Loose fitting,Rectangle
001274_1.jpg,Streetwear,Plain,Zara,Party,Cotton,Loose fitting,Rectangle
001311_1.jpg,Formal,Plain,Uniqlo,Work,Synthetics,Tight clothes,Rectangle
001283_1.jpg,Streetwear,Plain,Uniqlo,Work,Synthetics,Tight clothes,Rectangle
001337_1.jpg,Streetwear,Stripes,Zara,Work,Cotton,Loose fitting,Rectangle
001303_1.jpg,Streetwear,Plaid,Zara,Work,Cotton,Loose fitting,Rectangle
001333_1.jpg,Traditional,Plain,H&M,Work,Cotton,Loose fitting,Rectangle
001334_1.jpg,Streetwear,Plain,Uniqlo,Work,Synthetics,Tight clothes,Rectangle
001312_1.jpg,Streetwear,Plain,Zara,Work,Cotton,Tight clothes,Rectangle
001335_1.jpg,Streetwear,Plain,Zara,Work,Cotton,Tight clothes,Rectangle
001317_1.jpg,Streetwear,Plain,Zara,Work,Synthetics,Loose fitting,Inverted Triangle
001278_1.jpg,Formal,Plain,H&M,Party,Cotton,Loose fitting,Inverted Triangle
001331_1.jpg,Traditional,Plaid,H&M,Party,Cotton,Tight clothes,Hourglass
001327_1.jpg,Streetwear,Plain,H&M,Work,Synthetics,Tight clothes,Rectangle
001297_1.jpg,Streetwear,Plain,Zara,Work,Cotton,Tight clothes,Rectangle
001288_1.jpg,Streetwear,Plain,H&M,Work,Cotton,Tight clothes,Rectangle
001318_1.jpg,Streetwear,Plain,Zara,Work,Synthetics,Tight clothes,Rectangle
001315_1.jpg,Streetwear,Plain,Zara,Work,Cotton,Loose fitting,Rectangle
001313_1.jpg,Streetwear,Plain,Uniqlo,Work,Cotton,Tight clothes,Rectangle
001314_1.jpg,Formal,Plain,Zara,Party,Synthetics,Tight clothes,Hourglass
001286_1.jpg,Streetwear,Plain,H&M,Work,Cotton,Tight clothes,Hourglass
001298_1.jpg,Streetwear,Plain,Zara,Work,Cotton,Tight clothes,Rectangle
001284_1.jpg,Streetwear,Plain,Zara,Work,Cotton,Tight clothes,Rectangle
001325_1.jpg,Streetwear,Plain,H&M,Work,Synthetics,Tight clothes,Rectangle
001308_1.jpg,Streetwear,Plain,H&M,Work,Cotton,Loose fitting,Rectangle
001299_1.jpg,Streetwear,Plain,H&M,Work,Cotton,Loose fitting,Rectangle
001279_1.jpg,Formal,Plaid,H&M,Party,Cotton,Loose fitting,Rectangle
001323_1.jpg,Streetwear,Plain,H&M,Work,Synthetics,Tight clothes,Rectangle
001322_1.jpg,Streetwear,Plain,Uniqlo,Work,Synthetics,Tight clothes,Rectangle
001300_1.jpg,Streetwear,Plain,H&M,Work,Cotton,Loose fitting,Rectangle
001270_1.jpg,Streetwear,Plain,Zara,Work,Leather,Tight clothes,Rectangle
